Designator,Quantity,Manufacturer,PartNumber,PackageReference,Description,Mounting Technology,Layer

"AE1","1","Johanson Technology Inc.","2450AT42A100E","","","Surface Mount","Top"
"AE2","1","Taiyo Yuden","AH086M555003-T","","","Surface Mount","Top"
"C1, C2, C3, C4, C79, C80, C128, C130","8","Murata","GRM1555C1H120JA01D","0402","12pF 50V 5% 0402 (1005 Metric)","Surface Mount","Bottom, Top"
"C5, C19, C68, C78, C83, C99, C100, C101, C102, C103, C104, C105, C107, C108, C110, C112, C113, C114, C117, C120, C121, C122, C123, C124, C125, C129, C132, C135, C139, C140, C141, C142, C143, C146, C149, C151, C152","37","Murata","GRM155R70J104KA01D","0402","0.1uF 6.3V 10% 0402 (1005 Metric)","Surface Mount","Bottom, Top"
"C6","1","Murata","GRM155R62A104KE14D","0402","0.1uF 100V 10% 0402 (1005 Metric)","Surface Mount","Bottom"
"C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C20, C21, C22, C23, C24, C25, C26, C27, C28, C30, C31, C33, C35, C36, C39, C40, C41, C42, C43, C44, C45, C48, C49, C50, C51, C52, C55, C56, C59, C60, C84, C85, C86, C87","45","Taiyo Yuden","JMK105BJ224KV-F","0402","0.22uF 6.3V 10% 0402 (1005 Metric)","Surface Mount","Top, Bottom"
"C18, C37, C38, C46, C47, C153, C154, C155, C157","9","Murata","GRT188R60J226ME13D","0603","22uF 6.3V 10% 0603 (1608 Metric)","Surface Mount","Bottom, Top"
"C29, C53, C54, C57, C58, C75, C76, C77, C89, C90, C109, C111, C147, C148, C150","15","Murata","GRM155R60J475ME47D","0402","4.7uF 6.3V 20% 0402 (1005 Metric)","Surface Mount","Top, Bottom"
"C32","1","Murata","GRM155R61C105KE01D","0402","1uF 16V 10% 0402 (1005 Metric)","Surface Mount","Bottom"
"C34, C61, C62, C63, C64, C65, C67, C69, C70, C145, C156, C161","12","Murata","GRM155R60J106ME44D","0402","10uF 6.3V 20% 0402 (1005 Metric)","Surface Mount","Bottom, Top"
